pop_size,generations,selection,crossover,mutation,cx_rate,mut_rate,elitism_percent,runs,early_stop_gens,delta,avg_fitness,max_fitness,std_fitness,avg_generations,max_generations,std_generations,convergence_rate,avg_mutation_success_rate,avg_crossover_success_rate,avg_population_diversity,avg_fitness_progress,best_solution
250,100,tournament,greedy_merge,one_point,0.6,0.6,0.05,50,3,250,89738.0,120200.0,14240.45,20.94,42,9.45,0.06,0.2369,0.0795,9853.4696,"[52088.0, 55568.0, 58680.0, 62394.0, 64588.0, 66774.0, 68752.0, 71286.0, 72714.0, 74046.0, 75880.0, 76930.0, 78586.0, 79950.0, 80824.0, 82012.0, 82582.0, 83300.0, 84524.0, 85434.0, 85794.0, 86258.0, 86640.0, 87144.0, 87446.0, 87826.0, 88114.0, 88368.0, 88616.0, 88952.0, 89156.0, 89258.0, 89302.0, 89360.0, 89488.0, 89606.0, 89654.0, 89654.0, 89738.0, 89738.0, 89738.0]","[[51, 40, 39, 9, 50, 57, 53, 52], [21, 63, 49, 8, 59, 62, 61, 60], [15, 47, 27, 42, 38, 17, 33, 41], [23, 24, 43, 19, 37, 4, 22, 48], [55, 45, 54, 0, 44, 1, 10, 11], [12, 36, 30, 14, 56, 31, 13, 32], [3, 2, 28, 6, 29, 7, 26, 58], [34, 18, 35, 20, 16, 25, 5, 46]]"
250,100,tournament,greedy_merge,one_point,0.6,0.6,0.1,50,3,250,89732.0,121600.0,15410.16,20.9,44,10.68,0.06,0.2294,0.0808,9643.32,"[50812.0, 53956.0, 57434.0, 60902.0, 63878.0, 66232.0, 68460.0, 70252.0, 72448.0, 74022.0, 75284.0, 76912.0, 77924.0, 78942.0, 80066.0, 81144.0, 82188.0, 82910.0, 83760.0, 84302.0, 84900.0, 85400.0, 85856.0, 86390.0, 86976.0, 87122.0, 87458.0, 87946.0, 88210.0, 88434.0, 88572.0, 88680.0, 88992.0, 89162.0, 89218.0, 89218.0, 89560.0, 89590.0, 89624.0, 89640.0, 89732.0, 89732.0, 89732.0]","[[4, 0, 1, 48, 2, 5, 18, 53], [10, 12, 49, 13, 29, 33, 31, 7], [58, 59, 6, 44, 30, 21, 9, 25], [20, 43, 34, 37, 11, 46, 47, 35], [54, 3, 55, 36, 61, 63, 14, 60], [52, 40, 28, 41, 50, 51, 39, 45], [24, 23, 56, 16, 17, 57, 22, 27], [8, 62, 15, 19, 42, 26, 38, 32]]"
250,100,tournament,greedy_merge,one_point,0.6,0.6,0.25,50,3,250,84830.0,114600.0,15449.96,19.64,39,10.14,0.1,0.2364,0.0893,8540.5791,"[50912.0, 54032.0, 57472.0, 59642.0, 62448.0, 64464.0, 66288.0, 67830.0, 69668.0, 70986.0, 72350.0, 73282.0, 74250.0, 75298.0, 76228.0, 77418.0, 77990.0, 78650.0, 79440.0, 80126.0, 80798.0, 81256.0, 81514.0, 81852.0, 82168.0, 82634.0, 82880.0, 83510.0, 83710.0, 83996.0, 84174.0, 84266.0, 84472.0, 84622.0, 84630.0, 84826.0, 84826.0, 84830.0]","[[50, 4, 45, 51, 15, 55, 54, 52], [16, 25, 40, 43, 26, 48, 5, 53], [34, 58, 63, 38, 62, 39, 60, 61], [3, 13, 2, 7, 14, 29, 10, 12], [32, 33, 57, 56, 19, 30, 28, 31], [36, 23, 59, 17, 22, 21, 24, 18], [42, 44, 27, 6, 47, 46, 11, 9], [35, 8, 49, 20, 0, 37, 41, 1]]"
250,100,tournament,greedy_merge,one_point,0.6,0.7,0.05,50,3,250,86338.0,110300.0,11026.44,19.24,44,8.99,0.04,0.2506,0.0806,9796.6067,"[51502.0, 54466.0, 57072.0, 60876.0, 63974.0, 66026.0, 68348.0, 70158.0, 72402.0, 74670.0, 75722.0, 76936.0, 77926.0, 79212.0, 80112.0, 80926.0, 81534.0, 82120.0, 82842.0, 83192.0, 83678.0, 84164.0, 84310.0, 84540.0, 84650.0, 84732.0, 85142.0, 85408.0, 85552.0, 85722.0, 85838.0, 85838.0, 85930.0, 85966.0, 86034.0, 86114.0, 86254.0, 86254.0, 86266.0, 86294.0, 86338.0, 86338.0, 86338.0]","[[35, 28, 48, 29, 34, 54, 55, 27], [39, 14, 21, 41, 42, 40, 26, 3], [23, 51, 19, 57, 52, 30, 5, 4], [46, 0, 17, 13, 1, 12, 9, 2], [38, 56, 11, 62, 8, 16, 24, 22], [61, 60, 33, 32, 63, 58, 45, 44], [53, 37, 47, 49, 36, 25, 43, 31], [18, 20, 50, 10, 15, 59, 7, 6]]"
250,100,tournament,greedy_merge,one_point,0.6,0.7,0.1,50,3,250,87768.0,117400.0,14135.72,20.24,42,9.15,0.04,0.242,0.082,9554.5477,"[50422.0, 54190.0, 56868.0, 60294.0, 63018.0, 64980.0, 67118.0, 68768.0, 71098.0, 72986.0, 74276.0, 75288.0, 76682.0, 77724.0, 78742.0, 79846.0, 80802.0, 81634.0, 82750.0, 83288.0, 83796.0, 84024.0, 84662.0, 84936.0, 85294.0, 85898.0, 86146.0, 86578.0, 86694.0, 86834.0, 87054.0, 87432.0, 87436.0, 87604.0, 87648.0, 87648.0, 87648.0, 87756.0, 87768.0, 87768.0, 87768.0]","[[62, 63, 0, 1, 61, 60, 48, 52], [6, 18, 55, 8, 38, 36, 44, 59], [43, 57, 56, 4, 23, 47, 46, 15], [45, 13, 14, 33, 41, 42, 39, 30], [50, 22, 17, 21, 5, 26, 25, 27], [32, 51, 54, 31, 16, 35, 20, 19], [12, 3, 29, 10, 11, 2, 28, 40], [24, 7, 34, 49, 9, 37, 58, 53]]"
250,100,tournament,greedy_merge,one_point,0.6,0.7,0.25,50,3,250,83172.0,112000.0,13586.21,18.1,42,9.6,0.06,0.2523,0.0947,8686.8297,"[50226.0, 53130.0, 56448.0, 59332.0, 61578.0, 63978.0, 65990.0, 68776.0, 70264.0, 71662.0, 72506.0, 73502.0, 74668.0, 75692.0, 76514.0, 77504.0, 78334.0, 78592.0, 79386.0, 79840.0, 80604.0, 80886.0, 81004.0, 81340.0, 81562.0, 81740.0, 81990.0, 82292.0, 82392.0, 82468.0, 82624.0, 82752.0, 82884.0, 82884.0, 82952.0, 83044.0, 83088.0, 83088.0, 83172.0, 83172.0, 83172.0]","[[24, 22, 53, 42, 36, 48, 23, 18], [30, 63, 33, 43, 46, 47, 8, 60], [9, 10, 1, 11, 51, 50, 2, 49], [14, 37, 15, 35, 12, 3, 13, 6], [39, 58, 34, 41, 45, 21, 62, 52], [28, 19, 0, 17, 31, 16, 61, 32], [4, 54, 59, 26, 55, 38, 40, 5], [29, 20, 57, 25, 56, 44, 7, 27]]"
250,100,tournament,greedy_merge,one_point,0.6,0.8,0.05,50,3,250,90674.0,110000.0,10345.39,22.18,40,8.31,0.08,0.2444,0.078,10102.0712,"[50138.0, 54250.0, 57770.0, 61450.0, 63308.0, 65838.0, 68196.0, 70540.0, 73218.0, 74842.0, 76950.0, 78494.0, 79432.0, 80294.0, 81422.0, 82476.0, 83122.0, 83916.0, 84670.0, 85890.0, 86448.0, 87372.0, 87820.0, 88078.0, 88650.0, 88880.0, 89402.0, 89716.0, 89908.0, 89956.0, 90144.0, 90212.0, 90252.0, 90316.0, 90578.0, 90586.0, 90674.0, 90674.0, 90674.0]","[[62, 3, 36, 34, 2, 35, 7, 6], [48, 41, 45, 23, 21, 17, 55, 22], [53, 18, 49, 0, 1, 43, 19, 37], [52, 51, 50, 40, 54, 39, 14, 44], [61, 60, 5, 12, 11, 13, 10, 58], [59, 31, 27, 24, 32, 16, 38, 20], [28, 30, 46, 29, 33, 47, 42, 8], [25, 9, 15, 63, 4, 56, 26, 57]]"
250,100,tournament,greedy_merge,one_point,0.6,0.8,0.1,50,3,250,89902.0,124200.0,12456.73,22.16,62,10.72,0.04,0.2395,0.0809,9824.2655,"[50732.0, 54198.0, 56270.0, 58670.0, 61756.0, 64612.0, 66400.0, 69074.0, 70818.0, 72508.0, 74610.0, 76446.0, 78062.0, 78920.0, 80006.0, 81172.0, 82140.0, 82986.0, 83840.0, 84286.0, 85758.0, 86274.0, 86632.0, 86864.0, 87724.0, 88100.0, 88172.0, 88210.0, 88478.0, 88478.0, 88548.0, 88804.0, 88876.0, 88940.0, 89036.0, 89148.0, 89160.0, 89164.0, 89188.0, 89264.0, 89280.0, 89336.0, 89392.0, 89456.0, 89456.0, 89498.0, 89542.0, 89542.0, 89584.0, 89604.0, 89620.0, 89620.0, 89650.0, 89682.0, 89706.0, 89780.0, 89780.0, 89780.0, 89902.0, 89902.0, 89902.0]","[[44, 56, 57, 30, 58, 5, 33, 16], [12, 22, 14, 7, 61, 60, 11, 10], [28, 35, 29, 31, 32, 45, 34, 36], [54, 55, 49, 37, 0, 43, 40, 38], [3, 1, 8, 6, 9, 15, 52, 59], [50, 47, 46, 13, 48, 20, 51, 18], [2, 63, 53, 62, 42, 39, 41, 19], [27, 21, 23, 26, 17, 24, 4, 25]]"
250,100,tournament,greedy_merge,one_point,0.6,0.8,0.25,50,3,250,84806.0,109200.0,12214.33,19.78,40,9.29,0.04,0.2459,0.0902,8762.8506,"[51034.0, 53556.0, 56876.0, 59160.0, 61722.0, 64010.0, 66560.0, 68446.0, 70406.0, 72142.0, 73468.0, 74802.0, 75992.0, 76964.0, 77790.0, 78562.0, 79122.0, 79788.0, 80272.0, 80602.0, 81584.0, 81872.0, 82392.0, 82672.0, 83028.0, 83320.0, 83418.0, 83804.0, 83932.0, 84170.0, 84184.0, 84378.0, 84562.0, 84582.0, 84658.0, 84770.0, 84806.0, 84806.0, 84806.0]","[[61, 38, 60, 62, 35, 8, 63, 34], [23, 26, 24, 4, 50, 27, 25, 22], [47, 46, 16, 29, 28, 19, 21, 17], [7, 6, 1, 0, 9, 57, 14, 12], [10, 48, 2, 36, 11, 20, 41, 37], [30, 44, 56, 52, 51, 59, 53, 3], [33, 5, 45, 15, 54, 55, 58, 18], [39, 42, 40, 32, 13, 49, 31, 43]]"
250,100,tournament,greedy_merge,one_point,0.6,0.9,0.05,50,3,250,86178.0,107000.0,11139.2,18.78,41,7.84,0.1,0.2589,0.0833,10051.1378,"[51038.0, 54364.0, 58424.0, 61328.0, 64146.0, 67016.0, 68980.0, 70890.0, 72902.0, 74230.0, 75712.0, 76922.0, 78198.0, 79304.0, 80252.0, 80864.0, 81672.0, 82252.0, 82942.0, 83592.0, 83784.0, 84348.0, 84698.0, 84898.0, 85204.0, 85268.0, 85484.0, 85642.0, 85794.0, 85930.0, 85934.0, 86018.0, 86066.0, 86070.0, 86070.0, 86086.0, 86102.0, 86178.0, 86178.0, 86178.0]","[[55, 50, 6, 28, 54, 7, 9, 36], [2, 32, 45, 11, 31, 30, 42, 29], [22, 21, 14, 48, 17, 35, 38, 15], [10, 56, 12, 44, 57, 49, 51, 13], [60, 61, 52, 16, 62, 63, 8, 59], [58, 53, 43, 23, 33, 24, 4, 37], [46, 5, 41, 47, 3, 39, 34, 40], [1, 25, 0, 20, 19, 26, 27, 18]]"
