pop_size,generations,selection,crossover,mutation,cx_rate,mut_rate,elitism_percent,runs,early_stop_gens,delta,avg_fitness,max_fitness,std_fitness,avg_generations,max_generations,std_generations,convergence_rate,avg_mutation_success_rate,avg_crossover_success_rate,avg_population_diversity,avg_fitness_progress,best_solution
250,100,tournament,greedy_merge,one_point,0.6,0.6,0.05,100,3,250,90281.0,138100.0,15121.1,21.69,61,11.56,0.02,0.2352,0.0771,9936.7551,"[51308.0, 54657.0, 58521.0, 61420.0, 63379.0, 65995.0, 68701.0, 71001.0, 72750.0, 74588.0, 75870.0, 77020.0, 78247.0, 79365.0, 80233.0, 81161.0, 81853.0, 82937.0, 83588.0, 84148.0, 84648.0, 85157.0, 85624.0, 85908.0, 86633.0, 87012.0, 87190.0, 87506.0, 87791.0, 87951.0, 88164.0, 88415.0, 88975.0, 89207.0, 89335.0, 89489.0, 89677.0, 89825.0, 89897.0, 89935.0, 90003.0, 90061.0, 90075.0, 90129.0, 90139.0, 90173.0, 90195.0, 90211.0, 90211.0, 90211.0, 90233.0, 90233.0, 90247.0, 90247.0, 90247.0, 90267.0, 90271.0, 90281.0, 90281.0, 90281.0]","[[40, 14, 45, 28, 12, 41, 30, 39], [8, 32, 31, 7, 9, 21, 5, 6], [61, 35, 60, 34, 58, 26, 42, 62], [16, 56, 51, 59, 44, 38, 50, 57], [1, 63, 23, 0, 24, 13, 22, 33], [49, 47, 37, 3, 25, 43, 48, 46], [19, 54, 55, 52, 36, 4, 11, 10], [53, 20, 2, 15, 18, 27, 17, 29]]"
250,100,tournament,greedy_merge,one_point,0.6,0.6,0.1,100,3,250,92803.0,125800.0,13012.28,22.95,56,9.81,0.03,0.2267,0.0764,9643.8605,"[51343.0, 54421.0, 57933.0, 60708.0, 63471.0, 66063.0, 68377.0, 70433.0, 72366.0, 74301.0, 76064.0, 78236.0, 79353.0, 80584.0, 82226.0, 83113.0, 84318.0, 85668.0, 86764.0, 87331.0, 87854.0, 88317.0, 88954.0, 89385.0, 89826.0, 90231.0, 90605.0, 91071.0, 91275.0, 91374.0, 91532.0, 91610.0, 91781.0, 91905.0, 91944.0, 92087.0, 92337.0, 92423.0, 92451.0, 92477.0, 92533.0, 92547.0, 92589.0, 92603.0, 92619.0, 92649.0, 92661.0, 92695.0, 92709.0, 92709.0, 92753.0, 92769.0, 92803.0, 92803.0, 92803.0]","[[19, 57, 16, 24, 56, 22, 23, 31], [18, 44, 14, 20, 13, 12, 47, 30], [10, 3, 2, 33, 45, 11, 63, 36], [32, 5, 49, 15, 37, 27, 6, 62], [59, 41, 17, 28, 60, 61, 29, 21], [38, 8, 48, 0, 34, 1, 7, 35], [55, 42, 54, 40, 39, 4, 43, 9], [51, 53, 52, 26, 46, 50, 25, 58]]"
250,100,tournament,greedy_merge,one_point,0.6,0.6,0.25,100,3,250,86251.0,122700.0,13338.42,19.6,39,8.76,0.01,0.2427,0.0924,8604.1196,"[50646.0, 53737.0, 56680.0, 59849.0, 62121.0, 64532.0, 66373.0, 68443.0, 70074.0, 72210.0, 74128.0, 75609.0, 76551.0, 77525.0, 78446.0, 79566.0, 80399.0, 81217.0, 81776.0, 82254.0, 82777.0, 83290.0, 83596.0, 84112.0, 84361.0, 84713.0, 85007.0, 85132.0, 85390.0, 85571.0, 85639.0, 85923.0, 86001.0, 86101.0, 86193.0, 86251.0, 86251.0, 86251.0]","[[10, 9, 42, 7, 21, 63, 6, 13], [32, 30, 48, 62, 34, 8, 31, 43], [18, 49, 4, 15, 45, 54, 16, 40], [24, 23, 58, 44, 59, 26, 22, 27], [56, 29, 57, 28, 41, 46, 36, 47], [60, 39, 55, 11, 52, 25, 5, 12], [17, 35, 38, 20, 51, 61, 19, 50], [1, 33, 37, 3, 14, 0, 53, 2]]"
250,100,tournament,greedy_merge,one_point,0.6,0.8,0.1,100,3,250,88314.0,114000.0,12977.37,20.52,42,9.3,0.08,0.2417,0.0808,9902.1548,"[50785.0, 54526.0, 57637.0, 60876.0, 63657.0, 66074.0, 68575.0, 70337.0, 72528.0, 73564.0, 75392.0, 76751.0, 77960.0, 79273.0, 80220.0, 81172.0, 82105.0, 82891.0, 83528.0, 84075.0, 84588.0, 84907.0, 85277.0, 85830.0, 86099.0, 86424.0, 86687.0, 87126.0, 87429.0, 87628.0, 87924.0, 87957.0, 88136.0, 88186.0, 88200.0, 88244.0, 88272.0, 88282.0, 88314.0, 88314.0, 88314.0]","[[22, 5, 16, 17, 14, 23, 50, 19], [63, 38, 60, 61, 52, 34, 32, 31], [0, 7, 6, 51, 33, 8, 1, 53], [46, 28, 4, 9, 35, 58, 29, 59], [36, 21, 2, 62, 42, 39, 11, 40], [57, 56, 49, 41, 37, 30, 18, 43], [27, 26, 15, 44, 25, 20, 45, 24], [10, 55, 54, 47, 48, 12, 13, 3]]"
250,100,tournament,greedy_merge,one_point,0.6,0.9,0.1,100,3,250,84850.0,117500.0,12036.48,17.83,46,8.58,0.02,0.2538,0.0863,9799.4005,"[51585.0, 55255.0, 58338.0, 61447.0, 64142.0, 66062.0, 68523.0, 70721.0, 72827.0, 74332.0, 75761.0, 77140.0, 78273.0, 79108.0, 80110.0, 80645.0, 81423.0, 81981.0, 82384.0, 82610.0, 82988.0, 83137.0, 83561.0, 83763.0, 83968.0, 84058.0, 84179.0, 84231.0, 84347.0, 84377.0, 84444.0, 84531.0, 84580.0, 84628.0, 84628.0, 84662.0, 84698.0, 84718.0, 84736.0, 84812.0, 84814.0, 84834.0, 84850.0, 84850.0, 84850.0]","[[28, 16, 61, 48, 29, 58, 60, 45], [25, 5, 22, 17, 20, 27, 15, 38], [36, 3, 44, 6, 26, 57, 34, 9], [32, 37, 43, 49, 41, 12, 24, 30], [53, 2, 19, 63, 11, 13, 10, 35], [47, 46, 1, 0, 39, 21, 33, 23], [31, 8, 42, 55, 54, 4, 56, 18], [50, 7, 59, 52, 40, 51, 62, 14]]"
