pop_size,generations,selection,crossover,mutation,cx_rate,mut_rate,elitism_percent,runs,early_stop_gens,delta,avg_fitness,max_fitness,std_fitness,avg_generations,max_generations,std_generations,convergence_rate,avg_mutation_success_rate,avg_crossover_success_rate,avg_population_diversity,avg_fitness_progress,best_solution
50,50,tournament,table_preserve,one_point,0.8,0.8,0.0,30,3,3000,85056.67,114600.0,17699.75,12.97,22,5.78,0.0667,0.2017,0.2778,5506.642,"[49136.666666666664, 53906.666666666664, 57993.333333333336, 60953.333333333336, 64910.0, 67230.0, 69466.66666666667, 71326.66666666667, 73616.66666666667, 76523.33333333333, 78220.0, 79603.33333333333, 81093.33333333333, 81666.66666666667, 82836.66666666667, 83770.0, 84630.0, 84776.66666666667, 84950.0, 85036.66666666667, 85056.66666666667]","[[18, 53, 0, 19, 15, 1, 5, 63], [31, 30, 17, 21, 27, 56, 57, 32], [29, 45, 36, 34, 7, 6, 28, 35], [42, 40, 61, 39, 38, 22, 60, 14], [37, 49, 16, 46, 25, 2, 43, 48], [26, 33, 54, 55, 51, 4, 58, 47], [62, 3, 44, 13, 20, 52, 12, 9], [41, 24, 11, 23, 10, 50, 59, 8]]"
50,50,tournament,table_preserve,one_point,0.8,0.8,0.05,30,3,3000,85180.0,124600.0,17641.8,13.3,25,5.82,0.0333,0.2019,0.254,5338.298,"[49263.333333333336, 54643.333333333336, 57823.333333333336, 61026.666666666664, 64100.0, 66866.66666666667, 69773.33333333333, 72850.0, 74786.66666666667, 76430.0, 78043.33333333333, 79090.0, 79783.33333333333, 81420.0, 82320.0, 82880.0, 83656.66666666667, 84186.66666666667, 84646.66666666667, 84980.0, 84980.0, 85126.66666666667, 85180.0, 85180.0]","[[39, 21, 17, 41, 40, 0, 19, 1], [61, 5, 9, 16, 20, 60, 63, 4], [2, 3, 30, 38, 35, 7, 6, 12], [15, 14, 52, 37, 46, 48, 50, 47], [36, 31, 34, 58, 45, 55, 43, 54], [11, 29, 53, 13, 56, 57, 44, 32], [22, 51, 26, 23, 27, 25, 59, 33], [42, 18, 10, 62, 28, 8, 49, 24]]"
50,50,tournament,table_preserve,one_point,0.8,0.8,0.1,30,3,3000,83813.33,121600.0,16442.87,12.67,28,5.57,0.0333,0.2028,0.275,5225.7244,"[50690.0, 54666.666666666664, 58113.333333333336, 61196.666666666664, 63710.0, 66556.66666666667, 69496.66666666667, 71996.66666666667, 74736.66666666667, 75966.66666666667, 77700.0, 78940.0, 79550.0, 80806.66666666667, 81560.0, 82190.0, 82580.0, 82886.66666666667, 83246.66666666667, 83446.66666666667, 83460.0, 83560.0, 83606.66666666667, 83626.66666666667, 83733.33333333333, 83813.33333333333, 83813.33333333333]","[[24, 17, 23, 16, 15, 4, 19, 22], [27, 53, 0, 1, 59, 5, 26, 25], [31, 3, 32, 6, 7, 9, 30, 8], [12, 54, 55, 14, 28, 41, 13, 29], [39, 10, 11, 56, 40, 21, 20, 57], [37, 51, 52, 49, 38, 18, 63, 50], [62, 46, 43, 58, 47, 33, 60, 61], [35, 34, 2, 45, 44, 42, 48, 36]]"
50,50,tournament,table_preserve,one_point,0.8,0.9,0.0,30,3,3000,84416.67,103400.0,11452.45,13.0,24,4.11,0.0667,0.2155,0.2843,5468.9819,"[48006.666666666664, 52976.666666666664, 56796.666666666664, 61330.0, 65410.0, 68413.33333333333, 71186.66666666667, 74496.66666666667, 76480.0, 78243.33333333333, 80470.0, 81463.33333333333, 82786.66666666667, 83726.66666666667, 83493.33333333333, 83890.0, 83996.66666666667, 84030.0, 84210.0, 84230.0, 84370.0, 84396.66666666667, 84416.66666666667]","[[1, 9, 18, 0, 14, 15, 20, 3], [13, 10, 4, 11, 12, 2, 36, 48], [5, 23, 43, 16, 60, 22, 63, 61], [7, 6, 34, 24, 55, 35, 54, 57], [29, 51, 27, 25, 44, 26, 33, 28], [52, 30, 19, 39, 46, 56, 47, 42], [21, 45, 37, 40, 53, 17, 8, 38], [32, 50, 49, 58, 41, 62, 31, 59]]"
50,50,tournament,table_preserve,one_point,0.8,0.9,0.05,30,3,3000,91136.67,120400.0,16494.09,14.43,28,5.25,0.1,0.1979,0.2947,5663.3206,"[48636.666666666664, 53273.333333333336, 57336.666666666664, 61670.0, 64960.0, 68706.66666666667, 72373.33333333333, 75030.0, 77560.0, 80170.0, 82493.33333333333, 84316.66666666667, 85650.0, 86763.33333333333, 88063.33333333333, 88673.33333333333, 89166.66666666667, 89716.66666666667, 90116.66666666667, 90590.0, 90750.0, 90816.66666666667, 90943.33333333333, 90943.33333333333, 91056.66666666667, 91056.66666666667, 91136.66666666667]","[[49, 58, 7, 44, 0, 6, 63, 1], [34, 16, 60, 25, 53, 17, 5, 20], [43, 40, 39, 32, 12, 55, 41, 19], [31, 37, 27, 9, 59, 51, 50, 26], [2, 18, 3, 54, 57, 8, 11, 38], [56, 28, 15, 36, 21, 22, 45, 29], [30, 10, 13, 52, 23, 48, 46, 47], [33, 61, 62, 42, 14, 4, 35, 24]]"
50,50,tournament,table_preserve,one_point,0.8,0.9,0.1,30,3,3000,84913.33,123800.0,17309.74,12.97,28,5.81,0.0333,0.2008,0.2836,5317.2329,"[48410.0, 53603.333333333336, 57046.666666666664, 60880.0, 63753.333333333336, 66843.33333333333, 69463.33333333333, 71523.33333333333, 74446.66666666667, 76636.66666666667, 78220.0, 80426.66666666667, 81346.66666666667, 82180.0, 82913.33333333333, 83160.0, 83686.66666666667, 83746.66666666667, 84203.33333333333, 84226.66666666667, 84286.66666666667, 84620.0, 84686.66666666667, 84686.66666666667, 84913.33333333333, 84913.33333333333, 84913.33333333333]","[[42, 24, 0, 37, 1, 23, 25, 27], [10, 13, 14, 59, 16, 11, 12, 2], [47, 53, 8, 52, 51, 46, 3, 50], [33, 26, 30, 28, 29, 5, 17, 7], [40, 45, 41, 39, 61, 43, 60, 19], [54, 63, 55, 56, 38, 57, 44, 49], [34, 21, 15, 4, 22, 58, 48, 35], [31, 20, 9, 6, 36, 62, 18, 32]]"
50,50,tournament,table_preserve,one_point,0.9,0.8,0.0,30,3,3000,87753.33,112000.0,12632.41,14.0,26,5.42,0.1,0.1981,0.2825,5261.7378,"[49223.333333333336, 54466.666666666664, 59046.666666666664, 61870.0, 66606.66666666667, 69013.33333333333, 71726.66666666667, 74253.33333333333, 76930.0, 79780.0, 81046.66666666667, 82390.0, 83266.66666666667, 84070.0, 85480.0, 85713.33333333333, 86413.33333333333, 86560.0, 87220.0, 87356.66666666667, 87693.33333333333, 87580.0, 87733.33333333333, 87753.33333333333, 87753.33333333333]","[[18, 32, 0, 31, 29, 1, 22, 24], [37, 25, 5, 57, 27, 49, 26, 56], [3, 61, 6, 63, 28, 2, 62, 42], [30, 15, 43, 19, 44, 21, 20, 17], [13, 40, 33, 47, 46, 34, 45, 39], [54, 41, 55, 53, 59, 7, 52, 8], [35, 60, 9, 58, 10, 48, 11, 38], [23, 51, 12, 50, 4, 36, 16, 14]]"
50,50,tournament,table_preserve,one_point,0.9,0.8,0.05,30,3,3000,89136.67,121300.0,15731.57,13.73,24,5.46,0.0333,0.1921,0.2905,5369.3564,"[48510.0, 53750.0, 58170.0, 61586.666666666664, 65716.66666666667, 69520.0, 72446.66666666667, 75416.66666666667, 77330.0, 79476.66666666667, 81000.0, 82253.33333333333, 83580.0, 84696.66666666667, 86366.66666666667, 86813.33333333333, 87830.0, 88103.33333333333, 88403.33333333333, 88403.33333333333, 88870.0, 88976.66666666667, 89136.66666666667]","[[34, 40, 38, 41, 1, 35, 39, 0], [27, 17, 25, 62, 16, 5, 21, 15], [7, 3, 9, 6, 37, 43, 8, 59], [11, 23, 56, 24, 57, 44, 52, 10], [12, 14, 13, 4, 58, 50, 20, 18], [32, 31, 2, 45, 26, 48, 54, 55], [47, 61, 63, 49, 30, 42, 60, 46], [51, 33, 28, 22, 36, 53, 19, 29]]"
50,50,tournament,table_preserve,one_point,0.9,0.8,0.1,30,3,3000,85930.0,125000.0,19268.89,13.77,30,6.61,0.0667,0.1884,0.2556,5077.7626,"[47090.0, 52873.333333333336, 57510.0, 60213.333333333336, 63316.666666666664, 66663.33333333333, 68863.33333333333, 71140.0, 73536.66666666667, 76143.33333333333, 77726.66666666667, 78986.66666666667, 80260.0, 81400.0, 82223.33333333333, 83400.0, 84160.0, 84710.0, 85130.0, 85330.0, 85490.0, 85490.0, 85503.33333333333, 85736.66666666667, 85736.66666666667, 85756.66666666667, 85903.33333333333, 85910.0, 85930.0]","[[3, 16, 12, 1, 0, 2, 13, 14], [61, 25, 19, 27, 63, 60, 62, 26], [23, 17, 15, 22, 5, 31, 24, 21], [40, 53, 18, 39, 59, 41, 42, 20], [6, 7, 9, 29, 30, 32, 34, 28], [46, 10, 11, 44, 57, 47, 56, 38], [51, 58, 48, 49, 37, 50, 43, 4], [33, 35, 36, 52, 45, 54, 8, 55]]"
50,50,tournament,table_preserve,one_point,0.9,0.9,0.0,30,3,3000,81430.0,116400.0,18122.57,11.57,22,5.67,0.0333,0.2104,0.298,5505.4621,"[48726.666666666664, 54650.0, 58023.333333333336, 60820.0, 63723.333333333336, 66893.33333333333, 69066.66666666667, 71820.0, 73506.66666666667, 75006.66666666667, 75860.0, 77296.66666666667, 78216.66666666667, 79053.33333333333, 79523.33333333333, 80123.33333333333, 80710.0, 80956.66666666667, 81370.0, 81383.33333333333, 81430.0]","[[62, 50, 13, 1, 51, 0, 16, 12], [57, 56, 7, 19, 18, 37, 9, 43], [32, 20, 45, 35, 39, 31, 34, 42], [23, 14, 4, 11, 33, 15, 27, 10], [28, 58, 54, 26, 24, 60, 61, 55], [5, 52, 21, 30, 53, 48, 17, 2], [47, 63, 29, 49, 41, 40, 36, 46], [25, 8, 6, 38, 3, 22, 59, 44]]"
50,50,tournament,table_preserve,one_point,0.9,0.9,0.05,30,3,3000,93826.67,128800.0,16664.07,14.43,22,4.47,0.0667,0.1864,0.2992,5638.083,"[48323.333333333336, 54250.0, 59970.0, 64990.0, 68843.33333333333, 72106.66666666667, 75216.66666666667, 78240.0, 81566.66666666667, 83740.0, 85713.33333333333, 88086.66666666667, 89126.66666666667, 89986.66666666667, 91286.66666666667, 92413.33333333333, 92900.0, 93093.33333333333, 93800.0, 93800.0, 93826.66666666667]","[[16, 19, 15, 4, 2, 3, 1, 0], [25, 26, 5, 61, 31, 60, 62, 32], [21, 22, 63, 46, 17, 23, 47, 24], [51, 50, 45, 11, 56, 10, 52, 57], [39, 40, 54, 6, 55, 7, 8, 9], [58, 30, 34, 41, 29, 35, 28, 49], [44, 20, 38, 12, 13, 14, 53, 18], [37, 48, 27, 42, 33, 59, 43, 36]]"
