pop_size,generations,selection,crossover,mutation,cx_rate,mut_rate,elitism_percent,runs,early_stop_gens,delta,avg_fitness,max_fitness,avg_generations,max_generations,std_fitness,std_generations,best_solution,fitness_progress
100,100,ranking,table_preserve,inversion,0.7,0.9,0.0,30,3,250,85586.66666666667,110800.0,21.266666666666666,44,12815.50449867486,10.81644837992377,"[[4, 17, 0, 15, 21, 5, 18, 1], [55, 13, 14, 10, 57, 12, 54, 56], [46, 52, 51, 43, 50, 53, 47, 37], [6, 8, 11, 28, 29, 9, 7, 35], [23, 24, 63, 60, 58, 38, 48, 61], [22, 31, 19, 2, 16, 41, 32, 20], [25, 33, 27, 26, 30, 49, 3, 42], [34, 44, 45, 59, 39, 40, 36, 62]]","[50460.0, 54440.0, 58513.333333333336, 61623.333333333336, 63203.333333333336, 65270.0, 67820.0, 69320.0, 71220.0, 72796.66666666667, 75096.66666666667, 75836.66666666667, 77230.0, 78296.66666666667, 78416.66666666667, 79213.33333333333, 79580.0, 81436.66666666667, 81496.66666666667, 82276.66666666667, 82880.0, 83450.0, 83326.66666666667, 83706.66666666667, 83770.0, 84176.66666666667, 84130.0, 84533.33333333333, 84600.0, 84960.0, 85020.0, 85200.0, 85166.66666666667, 85263.33333333333, 85250.0, 85263.33333333333, 85160.0, 85403.33333333333, 85266.66666666667, 85386.66666666667, 85496.66666666667, 85580.0, 85586.66666666667]"
100,100,ranking,table_preserve,inversion,0.5,0.8,0.0,30,3,250,85563.33333333333,112600.0,23.3,63,15382.836395007114,14.592578022177348,"[[9, 5, 22, 15, 0, 1, 16, 4], [29, 36, 28, 62, 60, 63, 30, 61], [12, 2, 10, 41, 37, 43, 13, 14], [17, 56, 21, 3, 55, 33, 57, 54], [31, 53, 40, 59, 39, 44, 32, 42], [38, 23, 24, 8, 11, 7, 6, 20], [52, 18, 35, 51, 45, 48, 19, 50], [34, 25, 49, 46, 27, 26, 58, 47]]","[51410.0, 54123.333333333336, 57583.333333333336, 60680.0, 62280.0, 64920.0, 67776.66666666667, 69303.33333333333, 70650.0, 71923.33333333333, 72413.33333333333, 72236.66666666667, 74260.0, 75203.33333333333, 75836.66666666667, 76486.66666666667, 76903.33333333333, 78150.0, 78793.33333333333, 79496.66666666667, 80076.66666666667, 80270.0, 81470.0, 81443.33333333333, 81816.66666666667, 82036.66666666667, 82503.33333333333, 82683.33333333333, 83196.66666666667, 83363.33333333333, 83596.66666666667, 83496.66666666667, 83636.66666666667, 83803.33333333333, 83890.0, 83986.66666666667, 84290.0, 84336.66666666667, 85090.0, 84710.0, 84803.33333333333, 84830.0, 85136.66666666667, 85143.33333333333, 85050.0, 85196.66666666667, 85316.66666666667, 85230.0, 85350.0, 85436.66666666667, 85423.33333333333, 85390.0, 85596.66666666667, 85596.66666666667, 85776.66666666667, 85596.66666666667, 85563.33333333333, 85736.66666666667, 85736.66666666667, 85690.0, 85563.33333333333, 85563.33333333333]"
100,100,ranking,table_preserve,inversion,0.5,0.7,0.0,30,3,250,85210.0,112600.0,20.73333333333333,53,11414.708347858332,9.942948366667816,"[[23, 24, 38, 1, 4, 22, 26, 0], [5, 17, 27, 59, 15, 16, 19, 20], [36, 51, 52, 37, 43, 57, 56, 50], [46, 40, 7, 9, 39, 47, 11, 6], [61, 62, 2, 32, 60, 8, 3, 10], [35, 34, 14, 25, 13, 45, 12, 63], [28, 58, 29, 21, 33, 49, 31, 53], [54, 41, 30, 44, 55, 42, 18, 48]]","[48733.333333333336, 53356.666666666664, 57176.666666666664, 59636.666666666664, 61663.333333333336, 64076.666666666664, 66443.33333333333, 68193.33333333333, 70053.33333333333, 71246.66666666667, 73393.33333333333, 75483.33333333333, 76283.33333333333, 76930.0, 78090.0, 78763.33333333333, 79500.0, 80360.0, 81456.66666666667, 82156.66666666667, 82810.0, 83023.33333333333, 83140.0, 83486.66666666667, 83933.33333333333, 83760.0, 83976.66666666667, 84226.66666666667, 84363.33333333333, 84476.66666666667, 84390.0, 84390.0, 84763.33333333333, 84576.66666666667, 84556.66666666667, 84656.66666666667, 84863.33333333333, 84863.33333333333, 84776.66666666667, 84816.66666666667, 84816.66666666667, 84850.0, 84970.0, 84970.0, 84930.0, 84990.0, 85036.66666666667, 85130.0, 85123.33333333333, 85203.33333333333, 85203.33333333333, 85210.0]"
100,100,ranking,table_preserve,inversion,0.6,0.8,0.0,30,3,250,85206.66666666667,105600.0,20.433333333333334,49,12152.748203138615,10.534651816215328,"[[16, 0, 19, 25, 15, 1, 23, 17], [2, 10, 57, 3, 12, 56, 14, 13], [5, 49, 42, 40, 41, 43, 39, 37], [32, 46, 54, 55, 31, 47, 9, 11], [35, 28, 34, 29, 26, 63, 6, 30], [33, 27, 20, 48, 60, 7, 61, 18], [8, 59, 24, 62, 58, 22, 44, 4], [53, 21, 36, 50, 38, 52, 51, 45]]","[50276.666666666664, 52910.0, 56730.0, 59653.333333333336, 62510.0, 64170.0, 66190.0, 68620.0, 70960.0, 72510.0, 73586.66666666667, 74930.0, 75283.33333333333, 77046.66666666667, 78226.66666666667, 78790.0, 79126.66666666667, 80020.0, 80126.66666666667, 80786.66666666667, 81053.33333333333, 81686.66666666667, 82000.0, 82360.0, 82783.33333333333, 83240.0, 83420.0, 83846.66666666667, 84006.66666666667, 84053.33333333333, 84093.33333333333, 84000.0, 84426.66666666667, 84393.33333333333, 84626.66666666667, 84500.0, 84666.66666666667, 84853.33333333333, 84646.66666666667, 84866.66666666667, 84766.66666666667, 84766.66666666667, 84853.33333333333, 84926.66666666667, 84926.66666666667, 85073.33333333333, 85206.66666666667, 85206.66666666667]"
100,100,ranking,table_preserve,inversion,0.7,0.6,0.0,30,3,250,83830.0,106800.0,18.73333333333333,41,15228.091366506396,9.507657732352149,"[[25, 0, 26, 1, 5, 17, 21, 16], [58, 3, 14, 6, 7, 47, 46, 9], [49, 60, 18, 37, 61, 63, 43, 19], [39, 42, 2, 24, 41, 11, 10, 12], [57, 62, 51, 29, 50, 56, 36, 28], [30, 20, 52, 15, 22, 4, 54, 23], [38, 32, 45, 27, 55, 44, 31, 48], [8, 34, 40, 13, 35, 33, 59, 53]]","[49946.666666666664, 54196.666666666664, 56756.666666666664, 59216.666666666664, 61230.0, 64776.666666666664, 66436.66666666667, 67900.0, 68533.33333333333, 70430.0, 72646.66666666667, 73553.33333333333, 74383.33333333333, 75703.33333333333, 76890.0, 78270.0, 79043.33333333333, 79850.0, 80610.0, 80703.33333333333, 80836.66666666667, 81043.33333333333, 81390.0, 82116.66666666667, 82256.66666666667, 82576.66666666667, 82590.0, 82956.66666666667, 82976.66666666667, 83343.33333333333, 83496.66666666667, 83430.0, 83456.66666666667, 83590.0, 83503.33333333333, 83630.0, 83630.0, 83650.0, 83830.0, 83830.0]"
100,100,ranking,table_preserve,inversion,0.9,0.5,0.0,30,3,250,83463.33333333333,108000.0,16.3,39,13358.18059800394,9.331487912796472,"[[5, 20, 15, 19, 17, 3, 18, 4], [33, 10, 40, 1, 0, 2, 49, 11], [60, 63, 46, 61, 35, 47, 62, 34], [16, 13, 26, 32, 25, 31, 12, 27], [37, 7, 6, 43, 56, 30, 57, 9], [22, 45, 51, 48, 53, 50, 42, 21], [29, 36, 8, 52, 38, 44, 14, 58], [28, 54, 39, 24, 41, 55, 23, 59]]","[49793.333333333336, 55623.333333333336, 59536.666666666664, 62896.666666666664, 64850.0, 66453.33333333333, 68300.0, 70320.0, 71970.0, 73570.0, 74890.0, 75876.66666666667, 77100.0, 78223.33333333333, 78310.0, 79306.66666666667, 80013.33333333333, 80560.0, 80916.66666666667, 81153.33333333333, 81533.33333333333, 81760.0, 82160.0, 82343.33333333333, 82496.66666666667, 82556.66666666667, 82703.33333333333, 82836.66666666667, 82836.66666666667, 82863.33333333333, 82996.66666666667, 83110.0, 83163.33333333333, 83290.0, 83370.0, 83323.33333333333, 83463.33333333333, 83463.33333333333]"
100,100,ranking,table_preserve,inversion,0.6,0.7,0.0,30,3,250,82113.33333333333,104500.0,17.4,38,11476.344752964198,8.321057625085889,"[[26, 25, 27, 21, 5, 17, 56, 15], [10, 11, 53, 31, 35, 34, 0, 1], [9, 3, 12, 29, 2, 8, 6, 7], [55, 54, 45, 63, 47, 60, 61, 62], [24, 14, 32, 4, 19, 22, 23, 44], [37, 39, 42, 38, 48, 16, 43, 46], [33, 13, 41, 18, 57, 50, 40, 20], [30, 51, 28, 36, 52, 59, 49, 58]]","[49406.666666666664, 53396.666666666664, 56526.666666666664, 59760.0, 62610.0, 64166.666666666664, 66833.33333333333, 68676.66666666667, 70376.66666666667, 71420.0, 73026.66666666667, 74153.33333333333, 75726.66666666667, 76400.0, 77006.66666666667, 78066.66666666667, 78500.0, 78853.33333333333, 79946.66666666667, 80060.0, 80180.0, 80493.33333333333, 81086.66666666667, 81613.33333333333, 81586.66666666667, 81960.0, 81900.0, 81953.33333333333, 82040.0, 82040.0, 82040.0, 82106.66666666667, 82060.0, 82060.0, 82080.0, 82113.33333333333, 82113.33333333333]"
100,100,ranking,table_preserve,inversion,0.7,0.7,0.0,30,3,250,81720.0,105800.0,16.066666666666666,31,13257.309933265748,7.483017810720187,"[[19, 26, 25, 1, 0, 16, 17, 15], [13, 50, 51, 2, 12, 53, 11, 10], [45, 18, 20, 41, 39, 40, 38, 42], [55, 35, 46, 47, 59, 54, 44, 34], [63, 61, 22, 56, 30, 60, 62, 28], [43, 29, 36, 37, 33, 21, 52, 49], [7, 58, 48, 14, 23, 8, 4, 57], [32, 31, 27, 3, 5, 24, 6, 9]]","[48240.0, 53466.666666666664, 57270.0, 60526.666666666664, 62653.333333333336, 65013.333333333336, 67406.66666666667, 68703.33333333333, 70573.33333333333, 71520.0, 73060.0, 74490.0, 74983.33333333333, 76053.33333333333, 76030.0, 76566.66666666667, 77163.33333333333, 78366.66666666667, 78940.0, 79606.66666666667, 80420.0, 80833.33333333333, 81186.66666666667, 81266.66666666667, 81353.33333333333, 81560.0, 81340.0, 81653.33333333333, 81720.0, 81720.0]"
100,100,ranking,table_preserve,inversion,0.7,0.5,0.05,30,3,250,80956.66666666667,103000.0,14.0,26,13408.447171673371,6.361341577581468,"[[25, 17, 24, 5, 22, 23, 26, 41], [4, 16, 38, 0, 1, 18, 19, 20], [57, 28, 27, 29, 30, 7, 56, 54], [48, 52, 32, 3, 44, 51, 31, 50], [58, 43, 35, 37, 61, 6, 49, 34], [60, 13, 9, 21, 14, 12, 53, 2], [39, 59, 42, 45, 8, 40, 47, 55], [11, 15, 36, 33, 63, 62, 46, 10]]","[48883.333333333336, 53610.0, 58430.0, 60930.0, 63763.333333333336, 66823.33333333333, 68830.0, 70503.33333333333, 72450.0, 74090.0, 74976.66666666667, 76283.33333333333, 77383.33333333333, 77796.66666666667, 78190.0, 79116.66666666667, 79476.66666666667, 79676.66666666667, 80143.33333333333, 80470.0, 80530.0, 80936.66666666667, 80936.66666666667, 80956.66666666667, 80956.66666666667]"
100,100,ranking,table_preserve,inversion,0.9,0.6,0.05,30,3,250,80896.66666666667,105200.0,12.966666666666669,28,12429.145407289898,6.4780827067547975,"[[0, 24, 1, 10, 4, 12, 2, 3], [21, 18, 16, 13, 15, 17, 19, 33], [46, 47, 50, 51, 57, 23, 56, 52], [27, 25, 30, 26, 54, 5, 22, 55], [63, 39, 32, 49, 42, 34, 41, 40], [20, 29, 28, 48, 7, 59, 9, 6], [53, 8, 44, 43, 31, 37, 35, 14], [38, 45, 60, 11, 36, 58, 61, 62]]","[49906.666666666664, 54616.666666666664, 60080.0, 62890.0, 66200.0, 68266.66666666667, 69426.66666666667, 72233.33333333333, 73430.0, 74793.33333333333, 75976.66666666667, 76676.66666666667, 77656.66666666667, 77983.33333333333, 78910.0, 79490.0, 79923.33333333333, 80350.0, 80456.66666666667, 80550.0, 80616.66666666667, 80676.66666666667, 80730.0, 80863.33333333333, 80876.66666666667, 80896.66666666667, 80896.66666666667]"
