pop_size,generations,selection,crossover,mutation,cx_rate,mut_rate,elitism_percent,runs,early_stop_gens,delta,avg_fitness,max_fitness,std_fitness,avg_generations,max_generations,std_generations,convergence_rate,avg_mutation_success_rate,avg_crossover_success_rate,avg_population_diversity,avg_fitness_progress,best_solution
50,50,tournament,group_based,swap,0.6,0.8,0.1,30,3,500,51663.33,59200.0,4187.88,6.4,12,2.37,0.1667,0.378,0.0676,9391.6125,"[45290.0, 47026.666666666664, 48490.0, 49510.0, 49866.666666666664, 50523.333333333336, 51243.333333333336, 51403.333333333336, 51663.333333333336, 51663.333333333336, 51663.333333333336]","[[42, 9, 38, 50, 20, 34, 57, 53], [58, 28, 27, 61, 29, 33, 35, 47], [54, 17, 44, 0, 1, 48, 59, 18], [60, 22, 32, 5, 3, 8, 2, 6], [11, 36, 37, 43, 62, 13, 10, 45], [15, 16, 46, 21, 41, 24, 26, 25], [55, 23, 52, 39, 4, 31, 56, 40], [51, 30, 49, 7, 12, 19, 63, 14]]"
50,50,tournament,group_based,swap,0.6,0.8,0.25,30,3,500,49310.0,60600.0,4534.49,5.73,16,2.45,0.0667,0.3876,0.0669,9048.2703,"[45463.333333333336, 46476.666666666664, 47973.333333333336, 48686.666666666664, 48783.333333333336, 49056.666666666664, 49110.0, 49110.0, 49206.666666666664, 49206.666666666664, 49243.333333333336, 49243.333333333336, 49310.0, 49310.0, 49310.0]","[[5, 14, 61, 18, 60, 43, 62, 38], [9, 27, 16, 58, 10, 40, 12, 28], [7, 36, 56, 59, 6, 44, 33, 15], [11, 47, 19, 57, 32, 13, 46, 50], [55, 17, 22, 4, 23, 2, 35, 24], [8, 26, 30, 51, 54, 29, 52, 25], [53, 48, 45, 37, 63, 3, 20, 34], [1, 0, 41, 42, 39, 49, 31, 21]]"
50,50,tournament,group_based,swap,0.6,0.9,0.0,30,3,500,45496.67,53600.0,3941.61,49.17,50,3.81,1.0,0.4063,0.1114,7390.2974,"[43656.666666666664, 43610.0, 44220.0, 45293.333333333336, 44080.0, 44623.333333333336, 44393.333333333336, 43896.666666666664, 44710.0, 44110.0, 43480.0, 44360.0, 43270.0, 44886.666666666664, 44380.0, 43683.333333333336, 44223.333333333336, 44903.333333333336, 43396.666666666664, 44803.333333333336, 44530.0, 45060.0, 43850.0, 44423.333333333336, 43280.0, 43973.333333333336, 44986.666666666664, 45720.0, 44073.333333333336, 45430.0, 45126.666666666664, 45273.333333333336, 44970.0, 44726.666666666664, 43700.0, 43646.666666666664, 46140.0, 45666.666666666664, 45246.666666666664, 43506.666666666664, 44336.666666666664, 45540.0, 43853.333333333336, 45273.333333333336, 44623.333333333336, 44170.0, 45306.666666666664, 44096.666666666664, 46610.0, 45496.666666666664]","[[18, 7, 39, 25, 40, 26, 16, 15], [37, 10, 60, 56, 55, 33, 2, 43], [23, 11, 19, 53, 35, 52, 36, 34], [62, 48, 30, 20, 57, 44, 28, 61], [8, 9, 29, 1, 6, 38, 41, 50], [46, 17, 47, 4, 54, 45, 0, 27], [3, 12, 59, 49, 51, 21, 42, 63], [31, 32, 5, 13, 58, 24, 22, 14]]"
50,50,tournament,group_based,swap,0.6,0.9,0.05,30,3,500,49133.33,55800.0,3762.92,5.57,11,1.76,0.1667,0.3989,0.0997,8316.8395,"[45216.666666666664, 47273.333333333336, 48043.333333333336, 48346.666666666664, 48863.333333333336, 48990.0, 48990.0, 49133.333333333336, 49133.333333333336, 49133.333333333336]","[[47, 40, 46, 6, 58, 30, 60, 32], [19, 21, 24, 10, 23, 51, 16, 50], [49, 11, 44, 37, 53, 31, 63, 20], [27, 41, 39, 28, 33, 29, 43, 55], [54, 18, 22, 38, 9, 15, 56, 62], [36, 3, 1, 48, 57, 52, 34, 35], [14, 42, 26, 59, 13, 7, 8, 12], [0, 5, 45, 17, 61, 4, 2, 25]]"
50,50,tournament,group_based,swap,0.6,0.9,0.1,30,3,500,51880.0,59900.0,4192.09,5.83,16,2.45,0.1667,0.3818,0.0826,9124.0987,"[46830.0, 47863.333333333336, 49373.333333333336, 51033.333333333336, 51500.0, 51606.666666666664, 51606.666666666664, 51606.666666666664, 51626.666666666664, 51626.666666666664, 51663.333333333336, 51663.333333333336, 51880.0, 51880.0, 51880.0]","[[47, 38, 48, 49, 20, 26, 31, 18], [10, 35, 23, 59, 34, 46, 44, 40], [28, 29, 60, 54, 6, 7, 61, 56], [41, 57, 11, 63, 4, 16, 15, 42], [43, 1, 25, 5, 55, 51, 53, 0], [33, 37, 21, 52, 27, 36, 17, 58], [39, 19, 22, 8, 24, 9, 14, 30], [12, 45, 62, 32, 2, 3, 50, 13]]"
50,50,tournament,group_based,swap,0.6,0.9,0.25,30,3,500,50380.0,57600.0,4079.41,6.27,13,2.11,0.1667,0.3711,0.06,9356.7829,"[44606.666666666664, 46766.666666666664, 48130.0, 49033.333333333336, 49736.666666666664, 50053.333333333336, 50153.333333333336, 50213.333333333336, 50213.333333333336, 50380.0, 50380.0, 50380.0]","[[9, 54, 52, 29, 30, 38, 55, 59], [14, 58, 0, 60, 1, 34, 21, 50], [15, 61, 5, 22, 16, 45, 63, 27], [11, 28, 62, 12, 46, 41, 4, 47], [23, 17, 51, 43, 31, 32, 3, 24], [53, 39, 7, 44, 20, 19, 6, 36], [33, 26, 57, 2, 25, 37, 42, 56], [48, 49, 40, 10, 13, 18, 8, 35]]"
50,50,tournament,group_based,swap,0.7,0.6,0.0,30,3,500,46020.0,52600.0,3209.3,36.3,50,15.63,0.8333,0.4244,0.1064,7469.1369,"[43110.0, 42926.666666666664, 42700.0, 45396.666666666664, 44843.333333333336, 43786.666666666664, 43720.0, 43370.0, 44810.0, 46046.666666666664, 44730.0, 45133.333333333336, 45240.0, 45063.333333333336, 45356.666666666664, 44346.666666666664, 44530.0, 44196.666666666664, 44793.333333333336, 44896.666666666664, 45183.333333333336, 44293.333333333336, 44986.666666666664, 45770.0, 46163.333333333336, 45366.666666666664, 45096.666666666664, 44940.0, 45470.0, 45076.666666666664, 45756.666666666664, 44810.0, 45560.0, 45966.666666666664, 45990.0, 45213.333333333336, 45480.0, 45530.0, 46400.0, 46460.0, 46520.0, 45300.0, 45063.333333333336, 44643.333333333336, 45653.333333333336, 46196.666666666664, 45843.333333333336, 45963.333333333336, 45800.0, 46020.0]","[[30, 42, 1, 17, 0, 41, 56, 27], [20, 18, 57, 31, 32, 60, 21, 19], [2, 55, 35, 7, 28, 26, 54, 63], [59, 6, 10, 58, 14, 29, 38, 62], [44, 16, 36, 4, 25, 11, 13, 15], [47, 53, 34, 46, 37, 43, 51, 50], [22, 3, 5, 48, 12, 23, 52, 40], [9, 24, 8, 61, 33, 49, 39, 45]]"
50,50,tournament,group_based,swap,0.7,0.6,0.05,30,3,500,49630.0,57600.0,3906.67,6.3,10,1.64,0.1333,0.4257,0.0887,8635.0843,"[43930.0, 45556.666666666664, 46833.333333333336, 48293.333333333336, 48860.0, 49196.666666666664, 49630.0, 49630.0, 49630.0]","[[0, 32, 41, 1, 14, 12, 49, 38], [21, 58, 35, 37, 18, 36, 43, 2], [26, 9, 56, 5, 33, 16, 23, 51], [52, 39, 53, 20, 48, 29, 59, 25], [13, 50, 11, 4, 60, 61, 42, 40], [54, 19, 62, 24, 3, 22, 63, 31], [17, 34, 6, 55, 27, 7, 45, 15], [8, 44, 30, 57, 10, 47, 28, 46]]"
50,50,tournament,group_based,swap,0.7,0.6,0.1,30,3,500,49033.33,59000.0,4649.68,5.67,10,1.97,0.1,0.4131,0.0678,9182.9494,"[45313.333333333336, 46620.0, 47563.333333333336, 47900.0, 48006.666666666664, 48646.666666666664, 49033.333333333336, 49033.333333333336, 49033.333333333336]","[[30, 61, 53, 32, 41, 48, 5, 49], [47, 17, 63, 1, 24, 23, 22, 25], [38, 21, 36, 0, 27, 4, 37, 34], [55, 20, 58, 2, 46, 3, 14, 62], [35, 8, 10, 59, 19, 56, 33, 6], [57, 29, 9, 43, 45, 44, 7, 18], [12, 26, 15, 13, 11, 60, 54, 16], [39, 42, 51, 52, 28, 31, 40, 50]]"
50,50,tournament,group_based,swap,0.7,0.6,0.25,30,3,500,49436.67,62400.0,4825.11,5.9,9,1.76,0.1,0.3981,0.0618,8878.4344,"[44063.333333333336, 46280.0, 47156.666666666664, 48406.666666666664, 48993.333333333336, 49436.666666666664, 49436.666666666664, 49436.666666666664]","[[26, 56, 7, 31, 61, 25, 32, 0], [44, 45, 62, 1, 36, 10, 13, 12], [19, 35, 30, 41, 16, 15, 40, 34], [5, 53, 14, 33, 29, 28, 20, 52], [38, 48, 46, 49, 18, 54, 47, 17], [50, 24, 6, 3, 57, 23, 58, 11], [9, 51, 55, 43, 37, 8, 59, 4], [60, 21, 2, 63, 39, 22, 27, 42]]"
