pop_size,generations,selection,crossover,mutation,cx_rate,mut_rate,elitism_percent,runs,early_stop_gens,delta,avg_fitness,max_fitness,std_fitness,avg_generations,max_generations,std_generations,convergence_rate,avg_mutation_success_rate,avg_crossover_success_rate,avg_population_diversity,avg_fitness_progress,best_solution
250,100,boltzmann,greedy_merge,one_point,0.3,0.8,0.0,50,3,250,142860.0,156800.0,6844.65,29.76,41,5.27,0.14,0.0636,0.0089,4403.2906,"[55562.0, 62402.0, 69040.0, 75492.0, 81702.0, 87370.0, 92820.0, 97808.0, 102962.0, 107478.0, 111748.0, 115560.0, 119350.0, 122152.0, 124796.0, 126984.0, 129286.0, 131332.0, 133028.0, 134412.0, 135928.0, 137408.0, 138336.0, 139278.0, 139840.0, 140606.0, 141002.0, 141342.0, 141664.0, 141904.0, 142062.0, 142274.0, 142538.0, 142632.0, 142820.0, 142848.0, 142852.0, 142860.0, 142860.0, 142860.0]","[[52, 34, 35, 33, 44, 29, 28, 30], [59, 36, 21, 17, 38, 46, 58, 47], [23, 50, 54, 24, 55, 4, 22, 51], [63, 61, 39, 41, 40, 62, 42, 60], [9, 8, 10, 11, 31, 6, 32, 7], [13, 26, 5, 3, 12, 2, 25, 14], [48, 45, 1, 0, 49, 43, 53, 37], [16, 20, 57, 18, 15, 27, 56, 19]]"
250,100,boltzmann,greedy_merge,one_point,0.3,0.8,0.05,50,3,250,144194.0,157900.0,6305.41,29.9,43,4.81,0.22,0.0639,0.0086,4421.0301,"[55718.0, 62394.0, 68790.0, 75182.0, 81326.0, 87394.0, 92492.0, 97376.0, 102276.0, 106868.0, 111120.0, 115080.0, 118226.0, 121628.0, 125046.0, 128042.0, 130408.0, 132110.0, 133826.0, 135366.0, 136604.0, 137804.0, 139274.0, 140132.0, 141016.0, 141550.0, 142226.0, 142580.0, 142850.0, 143238.0, 143386.0, 143582.0, 143806.0, 143894.0, 144074.0, 144082.0, 144162.0, 144162.0, 144186.0, 144194.0, 144194.0, 144194.0]","[[18, 16, 15, 19, 4, 17, 5, 20], [57, 3, 56, 13, 2, 22, 14, 12], [21, 62, 44, 55, 60, 61, 54, 63], [26, 30, 25, 27, 23, 28, 24, 29], [37, 31, 1, 43, 49, 0, 32, 53], [36, 6, 9, 45, 59, 8, 7, 48], [41, 35, 58, 42, 38, 40, 39, 34], [11, 52, 51, 47, 50, 33, 10, 46]]"
250,100,boltzmann,greedy_merge,one_point,0.3,0.8,0.1,50,3,250,144380.0,156300.0,4816.01,30.66,43,5.39,0.18,0.0625,0.009,4470.0207,"[56060.0, 63422.0, 70098.0, 76346.0, 82360.0, 88018.0, 93374.0, 98390.0, 103050.0, 107424.0, 111808.0, 115860.0, 119388.0, 122432.0, 125224.0, 127810.0, 130150.0, 132192.0, 133966.0, 135762.0, 137038.0, 138296.0, 139276.0, 140078.0, 140988.0, 141694.0, 142142.0, 142604.0, 143050.0, 143362.0, 143534.0, 143732.0, 143912.0, 144136.0, 144180.0, 144260.0, 144260.0, 144300.0, 144368.0, 144380.0, 144380.0, 144380.0]","[[58, 11, 61, 60, 62, 63, 48, 10], [49, 36, 43, 37, 3, 2, 9, 19], [59, 54, 21, 20, 38, 18, 55, 44], [47, 51, 45, 33, 46, 50, 53, 52], [0, 8, 1, 29, 6, 30, 7, 28], [34, 31, 41, 42, 39, 40, 35, 32], [17, 4, 15, 24, 5, 22, 23, 16], [14, 56, 12, 13, 25, 57, 26, 27]]"
250,100,boltzmann,greedy_merge,one_point,0.3,0.9,0.0,50,3,250,145422.0,155100.0,5937.48,28.86,40,4.14,0.4,0.0652,0.0082,4272.159,"[56066.0, 62970.0, 69632.0, 76172.0, 82462.0, 88470.0, 93838.0, 98900.0, 103688.0, 108258.0, 112538.0, 116084.0, 119588.0, 122616.0, 125752.0, 129072.0, 131268.0, 133774.0, 136168.0, 137810.0, 139312.0, 140284.0, 141420.0, 142260.0, 142790.0, 143460.0, 143912.0, 144354.0, 144646.0, 144916.0, 145016.0, 145048.0, 145140.0, 145216.0, 145304.0, 145360.0, 145414.0, 145418.0, 145422.0]","[[48, 20, 18, 35, 19, 34, 45, 5], [37, 21, 47, 46, 36, 43, 17, 49], [57, 2, 56, 3, 9, 14, 58, 63], [42, 60, 40, 41, 62, 39, 61, 38], [6, 8, 25, 31, 26, 7, 32, 27], [33, 13, 29, 12, 10, 28, 30, 11], [59, 53, 50, 55, 44, 54, 51, 52], [4, 23, 1, 0, 22, 16, 15, 24]]"
250,100,boltzmann,greedy_merge,one_point,0.3,0.9,0.05,50,3,250,144342.0,154600.0,6234.39,28.98,43,4.97,0.36,0.0641,0.0091,4326.4552,"[55726.0, 62758.0, 69422.0, 75606.0, 81654.0, 88006.0, 93226.0, 98302.0, 102988.0, 107504.0, 111770.0, 115624.0, 119348.0, 122796.0, 125742.0, 128420.0, 131114.0, 133232.0, 135436.0, 137118.0, 138646.0, 139394.0, 140274.0, 140890.0, 141372.0, 142066.0, 142578.0, 143234.0, 143580.0, 143776.0, 143944.0, 144066.0, 144078.0, 144210.0, 144222.0, 144230.0, 144246.0, 144290.0, 144330.0, 144342.0, 144342.0, 144342.0]","[[41, 55, 40, 42, 39, 54, 38, 44], [51, 15, 19, 52, 18, 20, 16, 50], [53, 32, 59, 0, 31, 1, 36, 49], [37, 23, 8, 6, 4, 43, 24, 7], [13, 11, 10, 14, 9, 2, 12, 3], [61, 63, 35, 60, 62, 34, 58, 45], [28, 29, 27, 25, 5, 30, 26, 48], [22, 56, 17, 46, 21, 47, 57, 33]]"
250,100,boltzmann,greedy_merge,one_point,0.3,0.9,0.1,50,3,250,144612.0,157200.0,6267.4,29.66,40,4.31,0.24,0.0627,0.0084,4326.309,"[55976.0, 63570.0, 70356.0, 76788.0, 82700.0, 88136.0, 93776.0, 98780.0, 103930.0, 108546.0, 112914.0, 116958.0, 120390.0, 123484.0, 126228.0, 128848.0, 130980.0, 133052.0, 134670.0, 136306.0, 137410.0, 138514.0, 139798.0, 140586.0, 141212.0, 142044.0, 142650.0, 143124.0, 143456.0, 144076.0, 144236.0, 144292.0, 144400.0, 144420.0, 144488.0, 144592.0, 144608.0, 144612.0, 144612.0]","[[21, 25, 11, 10, 26, 27, 38, 48], [49, 43, 63, 37, 36, 60, 62, 61], [0, 55, 2, 53, 3, 1, 9, 54], [33, 23, 47, 59, 24, 22, 45, 46], [58, 12, 40, 14, 42, 41, 13, 39], [15, 18, 20, 19, 17, 4, 16, 5], [29, 50, 6, 7, 52, 51, 30, 28], [56, 34, 35, 32, 8, 31, 57, 44]]"
250,100,boltzmann,greedy_merge,one_point,0.4,0.8,0.0,50,3,250,145504.0,159300.0,5993.33,29.64,41,4.83,0.18,0.0638,0.0083,4533.0092,"[55184.0, 62908.0, 69376.0, 75736.0, 82032.0, 87766.0, 93514.0, 98736.0, 103490.0, 108336.0, 112580.0, 116550.0, 120016.0, 123198.0, 125998.0, 128832.0, 131306.0, 133194.0, 134934.0, 136542.0, 138334.0, 139818.0, 140986.0, 142164.0, 142672.0, 143146.0, 143778.0, 143968.0, 144196.0, 144464.0, 144624.0, 144956.0, 145068.0, 145204.0, 145372.0, 145396.0, 145424.0, 145496.0, 145500.0, 145504.0]","[[34, 56, 9, 2, 57, 44, 35, 3], [27, 7, 26, 38, 8, 6, 25, 21], [1, 0, 5, 17, 16, 19, 18, 20], [36, 50, 43, 37, 59, 51, 52, 49], [46, 47, 45, 31, 10, 32, 11, 48], [40, 42, 55, 39, 54, 41, 53, 22], [63, 4, 62, 61, 60, 24, 15, 23], [13, 14, 12, 28, 30, 33, 29, 58]]"
250,100,boltzmann,greedy_merge,one_point,0.4,0.8,0.05,50,3,250,145394.0,157300.0,5911.33,29.62,45,5.47,0.24,0.0631,0.0077,4503.5287,"[56738.0, 63590.0, 70328.0, 76732.0, 82640.0, 88436.0, 93940.0, 99056.0, 104314.0, 108748.0, 112974.0, 117034.0, 120474.0, 123366.0, 126360.0, 129238.0, 131736.0, 134014.0, 135808.0, 137404.0, 138788.0, 140134.0, 141060.0, 141724.0, 142532.0, 142944.0, 143570.0, 144004.0, 144324.0, 144608.0, 144764.0, 144940.0, 144988.0, 145140.0, 145272.0, 145308.0, 145340.0, 145340.0, 145370.0, 145382.0, 145386.0, 145394.0, 145394.0, 145394.0]","[[16, 15, 18, 23, 24, 20, 4, 19], [63, 14, 62, 13, 12, 61, 58, 60], [49, 0, 52, 50, 1, 51, 48, 53], [8, 3, 59, 31, 45, 32, 2, 36], [22, 27, 5, 26, 21, 17, 25, 44], [33, 55, 35, 30, 29, 28, 34, 54], [57, 41, 40, 39, 42, 37, 56, 43], [7, 10, 47, 9, 46, 38, 11, 6]]"
250,100,boltzmann,greedy_merge,one_point,0.4,0.8,0.1,50,3,250,143810.0,152900.0,5503.72,29.24,44,4.54,0.44,0.0659,0.0084,4448.3854,"[55276.0, 62696.0, 69352.0, 75412.0, 81344.0, 86900.0, 92178.0, 97330.0, 102138.0, 106578.0, 110776.0, 115154.0, 118926.0, 122074.0, 125048.0, 127790.0, 130004.0, 132032.0, 134362.0, 135992.0, 137882.0, 138794.0, 139544.0, 140512.0, 141510.0, 142200.0, 142514.0, 142902.0, 143172.0, 143244.0, 143392.0, 143518.0, 143576.0, 143600.0, 143612.0, 143692.0, 143720.0, 143772.0, 143772.0, 143772.0, 143808.0, 143808.0, 143810.0]","[[51, 27, 30, 50, 52, 29, 59, 28], [17, 21, 37, 49, 43, 0, 53, 1], [40, 22, 4, 24, 39, 23, 56, 57], [12, 48, 3, 2, 13, 46, 47, 14], [54, 36, 31, 34, 32, 35, 55, 33], [26, 19, 15, 5, 18, 16, 25, 20], [38, 44, 42, 58, 10, 45, 11, 41], [63, 61, 60, 8, 62, 6, 9, 7]]"
250,100,boltzmann,greedy_merge,one_point,0.4,0.9,0.0,50,3,250,143042.0,155600.0,6558.33,28.02,38,4.47,0.28,0.0646,0.0084,4337.3296,"[56780.0, 63886.0, 70730.0, 77258.0, 83386.0, 89300.0, 94718.0, 99862.0, 104896.0, 109508.0, 113664.0, 117454.0, 120906.0, 124116.0, 127104.0, 129968.0, 132158.0, 133448.0, 135034.0, 136538.0, 137922.0, 138916.0, 139914.0, 140476.0, 140896.0, 141440.0, 141762.0, 142274.0, 142592.0, 142614.0, 142798.0, 142838.0, 142898.0, 142970.0, 143038.0, 143042.0, 143042.0]","[[54, 55, 7, 56, 33, 6, 9, 57], [15, 19, 17, 20, 5, 4, 16, 18], [14, 13, 12, 3, 8, 10, 2, 21], [24, 25, 23, 29, 28, 30, 22, 26], [58, 61, 35, 31, 32, 60, 62, 34], [46, 38, 41, 40, 47, 44, 42, 39], [63, 51, 36, 48, 11, 52, 59, 50], [49, 53, 43, 0, 1, 37, 27, 45]]"
